Â×°´·u,ÁÂ¨Î½å,¾G´º¯q,¥C©÷ºa,¶À°ª«T,§d©Ó¿«,·¨ºÍ´¼,«Â¤O´µ,¦Ì¦è¨È,¨L¤Ñ²»,¯Ç¥Ë,¾HãÂ¶§,Å]©Ô,¸ë¦è¨È,³¯¤¸¥Ò,³¯§J¦|,¬Iµ¾³Í,®á©Z¨º,³¢»Ê¤¯,°¨¤O¼Ú,°ªÞ³,¸ë¦è¨È,¬f¹y,´ö©i,¦Òµá
785,791,792,797,798,800,804,824,825,827,830,831,832,835,837,838,839,840,844,849,857,861,864,866,871
0,402,71,186,126,121,274,19,7,9,1,354,8,1,129,156,18,9,290,42,175,48,8,47,20
0,149,20,50,17,28,46,10,3,2,0,68,1,4,41,34,3,0,56,10,49,7,2,10,12
0,8,0,3,6,4,10,0,0,0,0,8,0,0,4,6,1,2,12,0,5,3,0,1,0
0,127,15,21,1,7,0,7,0,0,0,15,3,0,11,4,1,0,8,17,9,1,4,5,11
1,585,150,268,110,130,143,23,8,15,3,196,6,5,137,121,27,11,222,67,138,22,9,39,38
0,401,67,67,81,93,110,16,1,3,0,114,3,3,31,61,9,0,123,32,106,11,2,18,28
0,25,4,23,7,9,9,0,0,0,0,7,1,0,6,7,0,0,21,1,4,0,2,7,9
1,554,106,278,271,243,541,27,11,16,2,659,13,10,207,255,45,9,473,64,275,54,19,73,34
0,579,144,259,164,143,272,37,7,6,0,385,10,9,241,213,31,7,261,25,234,42,11,49,48
2,2830,577,1155,783,778,1405,139,37,51,6,1806,45,32,808,859,135,38,1466,258,995,188,57,249,200
0,46,6,19,16,6,16,1,1,1,0,33,2,0,15,21,2,0,13,9,37,2,2,6,2
0,21,4,10,5,1,8,2,1,1,0,16,1,0,12,11,0,0,6,0,11,2,1,2,2
1,193,41,102,88,87,189,13,4,7,0,237,7,3,83,104,16,3,159,19,117,14,8,21,14
0,75,11,30,20,12,29,5,1,1,0,52,2,1,33,36,2,0,31,0,24,4,1,5,10
