希斯,陳威成,張耀騰,金子勝裕,黃文明,凱文,白昆弘,張天麟,邦尼,劉炳宣,羅強,詹姆士,朴仁球,立花義家
168,169,173,174,178,184,185,186,187,194,199,205,206,229
32,245,252,0,22,0,261,277,26,1,91,94,5,48
6,50,40,0,6,0,56,43,9,0,21,25,1,16
2,3,8,0,0,0,6,18,2,0,1,0,0,2
2,7,10,0,2,0,16,11,7,1,18,21,0,4
33,181,210,0,22,3,297,222,56,5,63,128,12,39
15,65,117,0,12,0,65,110,22,0,66,45,4,31
0,10,1,0,0,0,15,13,2,0,4,4,0,2
55,423,543,4,41,2,580,587,39,6,135,153,21,82
34,249,251,0,29,0,314,331,39,7,135,120,10,48
179,1233,1435,4,134,5,1610,1612,202,20,534,590,53,272
2,35,33,0,6,0,32,30,0,2,8,13,0,6
0,9,8,0,1,0,9,9,0,2,3,4,0,1
13,164,166,1,17,0,206,200,8,4,46,41,6,25
4,28,25,0,2,0,28,28,3,4,18,16,0,3
