張建勳,黃忠義,吳哲宗,張協進,張家豪,麥海奇,鐵布衫,帝多,神真水,陳宗男,歐峻男,奇威,怪力男,安收多,陳昭銘,葉高立,葉泳麟,王崇耀,劉忠岳,羅松永,陳宗甫,羅尼,鄭兆行,曾華偉,張家浩,高健龍,施昭同,曾揚岳,安生,邱敏舜,楊進雄,張建銘,王世驊,許國隆,鄭達鴻,余賢明,陳志偉,蘇建榮,凡托,古茲曼,陳俊和,葉君璋,張泰山,威納斯
167,180,189,195,201,211,212,213,219,222,223,224,228,230,231,232,233,237,238,240,241,242,246,249,250,251,253,260,264,268,270,276,278,280,282,283,293,294,307,324,461,476,486,847
179,1185,166,182,86,19,21,105,56,60,0,37,106,106,1,3,3,37,54,275,251,34,943,560,465,114,64,84,3,24,61,1097,18,435,820,402,297,350,11,3,86,813,1443,319
20,257,59,41,15,4,12,34,8,7,0,11,28,40,0,2,2,4,7,60,51,6,191,104,68,26,11,21,0,0,10,221,3,104,167,70,83,43,2,2,32,130,377,92
4,35,6,3,5,1,0,3,3,0,0,1,3,1,0,0,0,0,0,10,7,0,29,25,37,1,2,4,0,0,4,40,1,3,34,18,15,1,0,0,1,12,25,2
1,105,14,6,6,4,2,20,4,0,0,1,34,15,0,0,0,0,0,14,2,8,49,24,7,14,1,7,0,1,0,43,0,38,23,6,12,15,1,2,11,6,289,26
145,610,206,181,99,19,15,74,24,67,1,20,125,85,5,20,10,39,28,318,136,27,527,404,439,194,67,142,7,33,86,641,11,372,445,271,239,264,7,13,113,691,940,123
51,621,104,20,55,9,13,65,12,32,1,17,125,73,1,1,1,7,13,82,64,12,325,187,199,42,21,49,0,9,30,274,2,108,326,162,68,138,2,0,71,237,569,98
4,76,3,9,5,2,0,5,3,3,0,0,3,16,0,0,0,1,2,35,14,0,28,48,30,4,5,5,0,3,3,83,1,14,58,20,9,55,0,1,6,70,78,20
378,1831,351,391,184,22,30,140,97,149,6,48,114,169,10,13,8,114,105,517,520,45,1277,963,889,214,135,182,1,29,113,1628,44,611,1241,689,473,535,18,7,183,1740,2235,426
286,1367,223,277,95,27,31,117,43,91,6,44,93,147,3,10,1,67,50,372,358,48,1439,533,576,162,89,103,1,14,82,1076,18,526,877,454,349,493,9,14,144,953,1716,382
1069,6087,1132,1110,550,107,124,563,250,409,14,179,631,652,20,49,25,269,259,1683,1403,180,4808,2848,2710,771,395,597,12,113,389,5104,98,2211,3991,2093,1545,1894,50,42,647,4653,7675,1489
16,123,22,18,13,2,1,8,5,6,0,1,14,19,1,1,0,1,9,31,27,6,96,52,29,18,8,7,0,1,3,98,4,68,77,24,55,32,3,1,19,126,232,56
4,42,8,4,4,2,3,4,2,2,1,2,4,7,0,0,0,0,3,11,14,1,43,15,14,3,2,4,0,0,3,36,0,26,32,8,11,14,0,1,3,21,64,22
133,515,139,152,70,8,14,48,34,43,1,18,36,56,2,10,3,39,41,168,184,19,458,301,297,84,42,60,1,7,40,503,18,234,470,225,179,213,8,2,72,636,831,181
41,133,32,37,12,4,5,14,10,7,1,7,7,19,0,0,0,2,4,39,44,3,158,65,57,16,10,13,0,0,7,113,1,68,105,48,51,60,1,2,22,115,215,60
