陳子豪,潘萣翔,張正偉,張志豪,王威晨,蔣智賢,王勝偉,周思齊,彭政閔,林威助,周聖訓,黃鈞聲,林明杰,陳江和,林智勝,詹子賢,王峻杰,林王啟瑋,陳皓然,曾陶鎔,吳東融,張志強,許基宏,鄭達鴻,陳家駒,蘇緯達
1,2,6,7,9,11,14,16,23,24,25,26,28,31,32,39,45,49,57,58,61,69,74,77,92,96
76,31,121,51,0,83,80,90,90,57,0,5,2,11,79,11,2,3,7,10,4,3,59,56,34,34
19,8,24,21,0,28,26,30,19,15,0,3,0,2,21,1,0,2,3,7,1,0,21,9,7,6
0,1,0,5,1,0,2,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,1,0
15,1,4,17,0,30,5,17,8,5,0,0,0,0,34,2,0,1,0,1,1,0,15,0,8,5
56,34,41,61,5,43,45,56,47,27,1,3,3,11,77,7,0,5,7,23,7,1,69,34,32,51
31,10,47,22,0,34,32,65,47,25,0,2,0,3,55,3,1,1,1,1,7,1,41,23,12,16
3,0,5,5,0,5,10,5,4,1,0,0,0,2,9,0,0,0,0,3,0,1,11,4,4,3
67,41,150,64,5,89,114,84,88,77,2,6,1,21,90,5,2,9,6,11,10,4,37,102,29,36
84,27,109,77,1,84,118,141,100,71,0,5,0,14,108,20,1,4,3,7,7,3,69,52,54,37
351,153,501,324,12,396,433,491,403,279,3,24,6,64,474,49,6,25,27,64,37,13,322,283,181,188
2,2,7,6,1,9,8,11,13,4,0,0,0,2,11,1,0,2,1,3,1,3,7,9,0,7
3,1,5,4,0,6,6,12,9,1,0,0,0,0,9,0,0,0,0,1,0,0,3,0,1,2
20,18,50,25,2,33,45,32,28,28,1,2,1,13,29,3,0,4,1,5,7,3,17,49,10,17
10,5,15,10,0,12,18,27,18,6,0,0,0,4,16,3,0,0,0,2,0,1,10,5,8,7
