陳子豪,潘萣翔,陳文杰,張正偉,張志豪,王威晨,蔣智賢,林明杰,王勝偉,周思齊,彭政閔,林威助,黃鈞聲,陳江和,林智勝,詹子賢,林書逸,陳皓然,曾陶鎔,吳東融,張志強,陳子鴻,許基宏,鄭達鴻,陳家駒,蘇緯達,岳東華
1,2,4,6,7,9,11,12,14,16,23,24,26,31,32,39,43,57,58,61,69,73,74,77,92,96,98
55,18,3,73,49,21,71,9,58,93,75,2,26,12,35,60,2,0,39,43,3,4,8,13,15,16,0
27,3,1,27,16,6,24,2,23,15,12,0,11,1,12,19,1,2,11,11,0,3,2,4,5,9,0
2,1,0,2,4,1,1,1,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0
19,0,0,1,24,0,21,1,2,8,2,0,2,0,12,17,0,0,15,3,0,1,11,0,2,4,0
57,23,1,40,86,27,56,20,46,38,51,3,40,9,59,53,4,5,106,38,1,19,48,14,24,38,0
34,8,0,45,26,10,21,3,23,51,40,1,8,2,30,26,4,0,26,13,3,4,12,12,8,8,0
2,0,0,3,6,0,5,0,6,4,5,0,3,1,6,1,0,0,8,8,0,1,0,2,0,6,0
69,17,6,87,46,26,105,20,100,100,75,5,40,18,30,57,4,4,41,67,6,13,25,43,24,15,1
80,12,1,100,87,22,73,16,92,138,88,5,39,18,60,73,1,4,38,54,2,7,20,24,45,27,0
345,82,12,378,344,113,377,72,350,449,348,16,170,61,244,308,16,15,286,237,15,52,126,113,124,123,1
6,1,0,9,6,1,13,3,7,12,8,0,6,2,4,4,0,0,8,6,0,2,3,3,2,0,0
2,0,0,2,2,2,2,1,4,4,5,0,2,0,3,4,0,0,0,1,0,0,2,0,0,0,0
21,4,2,30,16,5,44,8,27,35,16,1,15,7,11,24,1,2,18,27,1,3,10,16,8,6,0
9,0,0,9,6,3,5,2,14,11,12,1,5,2,9,8,0,0,3,3,0,1,2,4,5,0,0
