陳子豪,潘志芳,陳文杰,張志豪,王威晨,林明杰,陳偉漢,王勝偉,周思齊,彭政閔,黃鈞聲,黃稚峰,陳江和,林智勝,詹子賢,林書逸,王峻杰,曾陶鎔,吳東融,陳琥,張志強,許基宏,吳明鴻,陳家駒,蘇緯達,岳東華
1,2,4,7,9,12,13,14,16,23,26,27,31,32,39,43,45,58,61,62,69,74,81,92,96,98
81,3,5,57,143,4,53,36,86,82,43,0,17,23,57,34,16,3,16,0,22,4,12,1,23,8
25,0,0,21,17,0,6,15,21,14,8,0,2,15,24,12,6,2,5,0,2,4,1,0,3,0
1,1,0,3,4,0,0,4,2,2,0,0,0,0,3,5,1,0,2,0,0,0,1,0,0,0
13,0,0,22,0,0,0,10,11,6,2,0,0,4,9,3,3,1,1,0,0,1,0,0,5,0
95,7,8,110,64,13,27,47,60,52,30,3,11,32,64,54,31,13,22,1,25,19,16,2,41,16
49,1,1,25,44,2,11,19,34,36,4,0,4,15,18,14,5,2,7,0,7,12,0,1,11,1
3,0,0,6,3,1,2,5,1,5,5,0,1,2,2,0,1,1,4,0,0,3,2,0,2,3
97,4,9,59,155,9,77,57,108,124,58,0,27,44,78,68,24,9,28,0,40,7,13,7,28,18
108,5,5,113,107,5,41,67,110,87,58,2,21,42,101,26,22,9,25,0,14,12,13,8,40,16
473,21,29,416,537,34,219,260,435,408,210,5,83,177,356,217,109,40,110,1,111,62,59,19,153,62
12,0,0,2,8,3,6,4,6,19,6,0,3,4,11,4,1,0,2,0,2,0,0,0,0,0
6,0,0,1,1,0,3,0,3,7,1,0,0,2,4,1,0,1,0,0,1,0,0,0,0,1
35,1,5,21,31,3,28,22,35,39,25,0,13,17,34,31,6,1,12,0,16,2,7,0,7,9
14,0,1,9,11,0,8,6,12,12,7,0,1,4,13,2,1,3,1,0,2,0,2,1,3,2
