陳子豪,潘志芳,陳文杰,張志豪,王威晨,林明杰,陳偉漢,王勝偉,周思齊,里迪,彭政閔,黃鈞聲,艾銳克,陳江和,林智勝,詹子賢,林書逸,曾陶鎔,吳東融,高宇杰,張志強,陳子鴻,許基宏,江坤宇,蘇緯達,岳東華
1,2,4,7,9,12,13,14,16,22,23,26,28,31,32,39,43,58,61,65,69,73,74,90,96,98
75,0,8,48,123,8,15,51,34,14,67,51,0,2,70,74,23,9,64,18,4,1,3,1,16,35
16,2,0,8,17,4,0,19,7,7,18,12,0,1,13,22,7,2,10,8,1,0,2,0,6,6
0,0,0,2,2,0,0,3,2,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,0,3
19,1,1,26,1,1,0,11,6,7,2,2,0,0,26,26,3,0,3,1,0,0,0,0,6,6
71,3,8,97,52,12,11,72,28,35,40,46,3,1,107,55,32,10,47,21,4,4,9,1,31,32
40,1,0,34,27,4,0,20,16,5,31,16,0,0,34,32,14,3,21,4,4,0,6,1,7,11
4,0,0,5,0,0,0,9,1,1,3,4,0,0,11,5,3,0,22,2,0,0,1,0,3,3
93,6,22,58,141,13,28,90,43,30,81,69,2,6,68,77,47,10,75,30,13,4,8,2,21,40
102,2,9,91,128,13,14,96,75,25,86,70,4,5,101,100,30,12,78,18,8,1,13,2,25,43
420,15,48,369,491,55,68,371,212,124,328,270,9,15,431,391,161,46,322,102,35,10,42,7,115,179
13,1,2,3,6,0,3,9,5,5,7,6,0,0,6,9,1,2,4,2,0,0,0,1,3,3
6,0,0,3,7,0,0,1,4,1,4,1,0,1,3,5,0,0,2,0,0,0,0,0,0,1
31,3,9,20,37,4,11,40,16,11,28,23,1,2,22,26,23,4,25,11,5,0,3,1,9,12
16,0,1,10,18,2,2,7,7,4,10,3,0,1,9,14,0,1,3,0,0,0,0,0,1,6
