陳子豪,李聖裕,陳文杰,張志豪,王威晨,林明杰,陳偉漢,王勝偉,周思齊,林智勝,黃鈞聲,曾頌恩,詹子賢,陳家駒,林書逸,林志綱,王政順,潘志芳,高宇杰,黃韋盛,張志強,杜家明,許基宏,宋晟睿,江坤宇,岳政華,蘇緯達,岳東華
1,2,4,7,9,12,13,14,16,25,26,32,39,42,43,47,61,63,65,66,69,71,74,88,90,92,96,98
73,28,41,22,147,10,17,0,32,6,10,6,69,18,1,0,0,28,35,0,5,9,78,10,82,5,17,30
15,6,16,12,10,3,4,0,10,3,1,4,21,1,0,0,0,7,9,0,4,2,38,5,29,0,3,6
5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1,0,0,0
14,0,6,5,1,2,0,0,2,3,1,2,10,1,0,0,0,2,5,0,0,0,14,1,1,1,4,2
60,41,57,42,56,13,12,3,32,19,11,12,55,19,0,0,0,31,46,1,13,9,94,25,57,16,21,35
59,6,35,20,33,3,3,1,16,7,2,3,43,12,0,0,0,8,13,0,5,2,53,5,34,7,13,17
14,0,1,2,3,0,1,1,0,3,0,0,4,1,0,0,0,1,0,0,1,4,7,2,9,0,2,0
102,28,76,18,178,18,33,5,58,20,5,10,97,42,1,1,1,64,61,0,17,17,104,29,139,13,31,72
123,17,86,46,103,21,19,3,63,15,16,10,116,28,0,0,0,40,65,0,11,14,134,14,136,11,33,45
465,127,320,167,532,70,89,13,213,76,46,47,415,122,2,1,1,183,234,1,56,58,522,93,488,53,124,207
8,3,2,1,6,2,4,0,4,3,0,2,14,4,0,0,0,2,2,0,0,2,9,0,13,0,2,3
3,0,3,1,2,0,0,0,2,1,2,0,2,1,0,0,0,2,1,0,0,0,8,1,0,0,2,1
30,14,29,5,52,11,15,3,19,9,1,3,41,16,1,0,1,26,28,0,9,7,36,12,43,5,11,27
18,0,7,10,9,0,2,0,10,1,3,1,8,2,0,0,0,5,4,0,0,2,20,4,9,0,3,3
