ªL­õÞ±,¤è§J°¶,¥ÓµqÞ³,±iÒRªê,ªL¯q¥þ,­Jª÷Às,¶À´¼°ö,ªLµb²Æ,±i«a§Ê,§õ©v½å,³¯³Í­Û,°ª°ê½÷,¶§«a«Â,°ª§µ»ö,·¨©ÓÂ@,­S°ê®f,§dºÍ³Ó,±iµúº~,¤_©sØP,ªL©ô½Ã,ªLÞ³®¦,½²¤Í¹F,¥Ûµ¾¦t,§d©v®m,ªL«Â§Ê,±i«Ø»Ê,³¯«~±¶,°ª°êÅï
1,2,3,7,9,15,16,20,21,22,24,28,29,32,35,46,49,50,51,52,54,58,60,62,64,66,93,98
75,37,14,0,95,76,0,17,0,67,35,9,13,72,7,13,1,7,23,19,19,12,2,26,43,58,51,45
23,9,6,0,23,23,0,2,0,12,6,7,4,14,3,1,0,7,10,3,5,1,0,4,9,13,15,22
3,0,0,0,1,3,0,0,0,4,1,0,1,3,0,0,0,0,0,1,0,0,0,1,3,1,3,2
3,8,0,0,17,11,0,0,0,4,1,3,1,6,0,2,0,1,1,4,0,1,0,7,5,4,7,9
60,55,42,1,50,49,0,21,5,83,30,20,22,56,11,6,1,13,44,40,19,26,6,32,48,50,28,56
39,21,0,1,49,30,0,4,0,31,6,9,4,18,5,4,0,9,10,13,9,4,1,16,11,18,27,29
9,2,2,0,1,1,0,0,0,3,3,0,3,7,0,1,0,0,3,4,1,0,1,1,12,2,3,6
83,71,15,1,111,102,2,29,1,90,56,18,13,113,12,11,2,20,44,39,34,33,8,32,57,87,63,72
112,42,17,0,97,92,3,22,1,63,28,37,23,72,14,5,2,10,33,20,27,17,6,17,55,52,68,71
407,245,96,3,444,387,5,95,7,357,166,103,84,361,52,43,6,67,168,143,114,94,24,136,243,286,265,312
11,5,2,0,15,8,0,4,0,3,7,2,3,15,2,1,0,0,3,1,3,4,0,6,0,7,2,11
6,2,1,0,8,5,0,0,0,1,1,1,1,5,1,0,0,1,2,0,0,0,0,0,1,2,1,3
29,22,4,1,43,27,0,8,0,37,27,5,8,44,4,4,2,6,17,13,15,13,1,12,22,31,16,29
14,6,2,0,15,9,0,3,0,7,6,3,6,9,3,0,0,1,7,1,0,3,1,2,11,6,8,5
