林哲瑄,方克偉,申皓瑋,林威廷,張正偉,林益全,胡金龍,林宥穎,李宗賢,陳凱倫,林旺衛,高國輝,高孝儀,蔣智賢,范國宸,于孟馗,王正棠,林瑋恩,蔡友達,石翔宇,吳宗峻,張建銘,張瑞麟,陳勤宗,林志洋,陳品捷,高國麟
1,2,3,6,8,9,15,20,22,24,25,28,32,42,46,51,53,54,58,60,62,66,72,86,89,93,98
74,18,28,6,81,76,103,40,23,26,0,29,26,88,44,41,34,5,12,4,5,1,4,1,2,91,22
21,1,7,1,19,26,26,8,4,4,0,12,6,34,8,8,6,1,7,0,1,0,0,0,0,19,6
3,0,1,0,1,0,1,0,0,1,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,6,2
10,2,4,0,2,8,14,1,0,2,0,9,2,18,2,1,0,0,0,0,0,0,1,0,0,6,4
66,25,43,4,54,54,40,30,25,28,5,52,16,73,35,33,18,6,22,6,11,6,4,0,0,77,42
33,13,12,1,41,30,28,14,10,11,1,40,6,30,8,15,12,2,0,3,3,1,1,0,0,51,15
10,1,1,0,5,2,1,0,1,2,0,2,3,2,3,2,1,0,0,1,1,2,0,0,0,1,5
95,55,25,15,115,100,117,69,35,46,2,33,54,117,64,75,47,5,15,7,7,2,5,2,3,117,24
129,33,31,4,80,92,92,50,29,30,2,66,38,103,44,38,21,5,17,3,4,4,2,0,0,116,36
441,150,152,31,399,388,422,215,127,151,10,243,152,467,210,214,142,24,76,25,33,16,17,3,5,485,156
12,3,3,3,5,8,8,8,3,1,0,8,7,11,4,3,2,0,3,0,0,0,0,0,0,6,2
7,2,0,0,2,7,4,4,2,1,0,3,2,6,3,4,1,1,2,0,0,0,0,0,0,6,2
37,17,6,5,32,24,42,30,16,23,0,16,28,43,20,28,21,1,10,4,3,1,3,0,2,42,11
23,5,2,0,8,19,13,8,3,7,0,9,7,16,6,5,2,2,4,0,0,0,1,0,0,14,9
