林哲瑄,方克偉,申皓瑋,張正偉,石翔宇,林益全,胡金龍,林宥穎,李宗賢,楊晉豪,陳凱倫,高國輝,高孝儀,蔣智賢,范國宸,張詠漢,于孟馗,王正棠,蔡友達,林威廷,張瑞麟,林志洋,陳品捷,戴培峰,高國麟
1,2,3,6,7,9,15,20,22,23,24,28,32,42,46,50,51,53,58,64,72,89,93,95,98
90,18,10,83,9,87,112,47,72,13,24,25,27,42,34,2,9,69,1,16,0,0,35,17,17
25,2,3,14,1,26,21,11,10,4,8,16,9,17,11,0,4,29,0,4,0,0,5,4,9
6,0,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,2,0,0,3,0,2
9,1,1,1,0,27,13,3,1,1,3,9,2,9,5,0,0,2,0,1,1,0,5,0,8
58,28,19,49,8,58,47,36,56,16,31,46,24,37,29,3,18,59,3,22,2,0,45,26,34
27,13,2,34,2,44,30,7,16,7,6,15,13,25,11,1,7,25,0,7,1,0,32,7,11
8,2,3,4,0,1,1,0,2,2,5,0,5,5,1,0,1,2,1,3,0,0,1,1,4
92,29,21,109,11,122,145,61,117,43,40,23,40,66,28,5,21,138,3,26,3,0,44,26,27
137,26,14,75,9,119,94,54,71,9,32,42,47,44,50,2,20,85,4,17,0,1,53,21,28
452,121,73,373,41,484,464,220,346,95,149,176,169,245,169,13,81,413,12,100,7,1,223,102,140
10,1,0,3,0,19,8,5,8,3,3,1,2,8,3,0,0,8,1,1,0,0,3,0,3
2,0,0,2,1,8,3,5,2,0,0,1,1,0,0,0,1,2,0,0,0,0,2,1,0
35,9,5,39,3,50,32,16,37,19,15,10,10,29,11,0,9,55,1,15,0,0,17,10,8
17,3,2,5,3,25,14,8,14,1,3,4,4,5,4,0,3,8,0,2,0,0,8,5,2
