ªL­õÞ±,½±´¼½å,±i¥¿°¶,³¯¯u,ªL¯q¥þ,«À«aÞ³,¤ýÐw¥à,ªL«É¿o,§õ©v½å,·¨®Ê»¨,³¯³Í­Û,°ª°ê½÷,¥ÓµqÞ³,°ª§µ»ö,±i«a§Ê,¤ý¥¿´Å,¯Ã¨º´µ,­J«a«\,¸­¦Ë°a,­S°ê®f,²ø­³®¦,¤_´Ë¦°,¿½¾Ð»Ê,ªL«Â§Ê,À¹¤ª¯u,¨¯¤¸¦°,±i¶i¼w,¸³¤l®¦,¤Õ©À®¦,·¨·ç©Ó,¤ý¸ÖÁo,À¹°ö®p,°ª°êÅï
1,5,6,7,9,10,14,20,22,23,24,28,29,32,33,35,38,43,45,46,49,51,61,64,65,67,69,78,82,83,84,95,98
52,6,0,2,71,2,4,20,48,3,32,23,55,40,7,57,6,4,19,55,5,17,5,0,0,24,56,9,3,29,1,14,71
12,4,0,5,29,1,1,3,11,1,4,20,22,4,4,16,1,2,5,15,1,3,0,1,1,8,14,1,0,10,0,2,19
0,0,0,0,0,0,0,1,2,0,1,1,2,0,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,2,0,0,2
5,0,0,2,11,0,1,0,0,1,0,12,4,0,0,5,1,0,0,9,0,1,0,0,0,3,2,1,0,1,0,0,8
58,8,2,24,66,6,13,29,47,4,24,68,66,33,19,60,5,16,24,67,4,16,14,4,5,23,27,0,9,39,3,25,64
34,3,0,6,31,3,1,5,20,0,19,19,35,12,5,30,0,2,16,31,1,6,3,1,1,8,20,5,0,24,0,5,34
9,0,1,1,0,0,0,0,3,0,1,1,6,2,2,9,1,0,1,4,0,0,1,2,3,3,4,0,0,1,0,2,2
58,10,0,13,108,5,10,39,92,3,59,41,76,47,13,99,5,6,23,66,18,31,7,3,6,46,54,13,6,51,1,34,68
108,9,2,8,108,4,5,34,86,3,32,83,88,46,13,104,7,9,13,87,11,28,10,4,0,36,73,13,3,39,0,27,81
336,40,5,61,424,21,35,131,309,15,172,268,354,184,63,381,26,39,102,336,40,103,40,15,16,152,250,42,21,196,5,109,349
5,2,0,0,12,1,0,2,3,0,3,2,5,1,1,2,0,0,2,7,1,2,0,0,0,2,2,2,0,2,0,1,6
2,0,0,0,5,0,0,0,4,0,2,5,2,2,0,3,0,0,2,1,0,1,0,0,0,2,4,0,0,2,0,2,1
17,5,0,2,40,2,3,14,36,3,21,14,37,10,6,31,2,1,9,17,6,10,3,1,2,17,11,4,1,14,1,8,20
14,1,0,0,16,0,0,2,8,1,5,10,11,5,2,13,1,1,3,5,0,3,1,0,0,7,9,1,0,6,0,3,10
