¸­¦Ë°a,ªL©Ó­¸,³¢¥Ãºû,¸â´¼³ó,¤ý¬f¿Ä,ªLªl¨|,³¢ÄY¤å,¶§Ä£¾±,·¨©§§¡,¶À¯EµM,¸³¤l¯E,³¯«T¨q,ªL¥ß,¶¾°·®x,³¯¶­­·,Áé©Ó¯§,¹ù°·´I,¼B®É»¨,§E¼wÀs,ÄY§»¶v,ªL´¼¥­,¦¶¨|½å,±i¶{³Ô,ÂÅ±G­Û,¬ö«~§»,±ç®aºa,ªL¬F»õ
1,6,7,8,9,11,21,23,25,27,28,29,39,45,51,57,58,60,61,62,79,85,86,88,96,97,99
10,47,17,33,113,84,80,44,24,23,0,69,12,2,1,7,5,17,32,20,51,56,4,57,1,42,4
1,23,3,11,33,28,24,14,5,11,0,26,2,1,0,2,0,2,4,4,11,29,0,14,0,14,0
0,1,0,1,1,0,1,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0
0,6,0,9,31,18,7,5,0,3,0,16,2,0,0,0,0,2,2,0,3,27,0,14,0,6,0
11,64,14,38,44,63,49,38,9,40,1,78,15,4,1,17,2,17,30,22,42,89,10,46,1,50,6
11,27,9,25,65,22,35,13,9,8,0,52,6,0,0,6,0,8,12,13,14,51,1,25,1,24,1
1,3,0,5,11,7,2,0,0,2,0,1,0,0,0,1,0,1,1,0,3,6,1,5,0,2,0
10,74,35,90,108,110,105,42,20,36,1,78,9,3,5,8,3,41,55,32,99,86,8,74,1,71,8
11,83,17,42,111,99,93,39,25,31,0,94,7,5,3,9,1,45,35,14,48,80,11,67,1,59,2
55,328,95,254,517,431,396,195,92,155,2,417,53,15,10,50,11,133,172,105,272,424,35,304,5,270,21
0,6,3,5,6,17,7,3,4,2,0,14,2,0,0,1,0,1,5,4,9,5,0,4,0,6,1
0,3,0,0,4,7,7,0,1,2,0,9,0,0,0,0,0,2,2,0,1,3,0,3,0,3,0
0,27,17,25,42,46,34,20,8,13,1,27,6,2,1,2,0,14,17,15,31,25,5,18,0,22,1
2,11,3,6,12,9,16,10,3,7,0,16,0,1,0,1,0,7,5,0,5,10,3,8,0,6,0
