¸­¦Ë°a,ªL©Ó­¸,³¢¥Ãºû,¸â´¼³ó,ªLªl¨|,³¢ÄY¤å,¶§Ä£¾±,¬f¯Ç«Ò¨º,³¯«T¨q,¦¨®Ê,§E¼wÀs,ªL¥ß,³\¬êÀ¢,ªô¤¦,Áé©Ó¯§,¹ù°·´I,¼B®É»¨,·¨·ç©Ó,ªL´¼¥­,¶À·qÞ³,¦¶¨|½å,±i¶{³Ô,ÂÅ±G­Û,±ç®aºa,³¯±á«Â
4,6,7,8,11,21,23,27,29,35,36,39,47,48,57,58,60,75,79,82,85,86,88,97,98
4,44,3,16,102,95,12,16,100,0,29,98,3,4,17,64,17,0,15,23,102,9,105,14,83
1,12,1,4,24,26,4,5,21,0,6,29,1,1,1,12,3,0,3,3,26,3,25,4,8
0,1,0,0,0,0,0,0,2,0,2,4,0,0,1,0,0,0,0,1,1,0,1,0,11
1,14,0,1,26,17,3,2,22,0,1,20,0,0,2,6,1,0,0,2,30,0,10,2,5
5,74,6,11,70,65,19,15,59,0,18,72,11,5,22,34,13,2,17,23,105,5,59,15,55
3,17,0,10,31,33,8,15,50,0,10,35,1,2,3,41,6,0,8,9,41,2,25,6,35
0,2,0,2,25,3,0,1,2,1,0,5,0,0,0,6,2,0,0,2,1,1,13,5,2
7,45,11,33,114,112,17,32,81,3,33,102,3,11,13,95,23,0,33,31,109,10,133,30,111
7,69,7,21,102,128,17,21,97,6,32,80,3,3,23,78,19,0,20,31,92,10,120,23,92
28,279,28,98,494,479,80,107,435,10,132,445,22,26,82,336,84,2,96,126,507,40,493,99,403
1,5,0,4,11,11,2,2,8,0,3,9,0,0,0,8,2,0,3,0,12,1,6,1,1
0,2,0,1,4,9,0,1,1,0,0,6,0,0,0,6,0,0,0,1,5,1,4,1,2
4,23,5,15,41,54,7,13,28,1,14,42,0,4,5,33,12,0,15,8,46,4,48,13,34
2,5,1,1,12,20,0,2,11,0,1,16,0,1,1,9,0,0,3,3,14,2,14,4,12
