¶§Ä£¾±,¸­¦Ë°a,±ç®aºa,ªL©Ó­¸,³¢¥Ãºû,¸â´¼³ó,ªLªl¨|,³¢ÄY¤å,³¯«T¨q,¦¨®Ê,§E¼wÀs,ªL¥ß,¶¾°·®x,·¨·ç©Ó,ªô¤¦,¹ù°·´I,¼B®É»¨,ÄY§»¶v,±i¶{³Ô,ªL´¼¥­,¦¶¨|½å,ÂÅ±G­Û,°¨³Ç´Ë,³¯±á«Â,ªL¿A±l
1,4,5,6,7,8,11,21,29,35,36,39,45,46,48,58,60,62,73,79,85,88,94,98,99
40,0,38,51,4,18,89,66,77,24,25,97,3,15,2,61,4,12,2,66,78,67,2,103,5
17,0,14,15,0,1,22,17,16,5,4,23,1,1,0,31,1,1,0,15,20,22,0,14,1
1,0,1,2,0,2,0,1,1,1,0,4,1,0,0,1,0,1,0,0,1,3,1,13,0
9,0,5,8,0,0,13,10,12,2,1,25,0,3,0,10,1,0,0,1,27,6,0,4,0
53,2,31,66,6,21,81,74,79,15,26,107,3,18,2,32,6,10,3,50,80,60,0,52,2
13,1,16,13,1,7,15,30,39,4,7,37,2,7,1,28,6,4,1,19,31,30,0,33,0
3,0,4,2,0,3,11,1,2,1,1,6,0,1,0,10,0,1,0,5,3,5,0,3,0
53,2,43,47,7,27,98,94,84,30,30,96,10,12,3,87,18,17,3,90,88,79,4,148,2
40,1,42,69,5,11,101,95,78,32,21,67,4,6,1,90,12,13,5,37,66,82,6,146,1
229,6,194,273,23,90,430,388,388,114,115,462,24,63,9,350,48,59,14,283,394,354,13,516,11
3,0,3,5,1,1,10,13,7,2,3,5,1,0,0,9,1,0,0,12,8,5,0,3,0
1,0,1,1,1,1,7,6,4,1,2,2,0,0,0,3,0,1,0,4,3,2,0,4,0
13,0,12,19,2,8,37,40,25,11,15,33,2,3,1,29,7,6,0,29,28,24,0,46,0
6,0,3,2,2,2,14,14,8,3,3,11,0,0,0,10,1,2,0,7,11,11,0,12,0
