¶§Ä£¾±,¸³¤l¯E,±ç®aºa,ªL©Ó­¸,³¢¥Ãºû,¸â´¼³ó,ªLªl¨|,³¢ÄY¤å,½²Âí¦t,±i¶{³Ô,³¯«T¨q,¦¨®Ê,§E¼wÀs,ªL¥ß,¶¾°·®x,³\¬êÀ¢,¹ù°·´I,ÄY§»¶v,ªL´¼¥­,¶À·qÞ³,¦¶¨|½å,ªô¤¦,ÂÅ±G­Û,°¨³Ç´Ë,³¯±á«Â,ªL¿A±l
1,3,5,6,7,8,11,21,24,28,29,35,36,39,45,47,58,62,79,82,85,86,88,94,98,99
20,0,60,60,50,5,65,21,2,11,95,34,26,66,5,1,53,14,10,7,79,57,10,46,55,16
1,0,19,19,9,3,34,9,0,4,15,3,1,22,0,0,14,3,1,2,12,12,2,8,8,0
1,0,0,0,2,0,1,0,0,0,2,0,0,6,0,0,1,0,0,0,1,1,0,0,8,0
0,0,4,7,0,0,14,0,0,0,7,2,0,7,0,0,8,2,0,0,22,3,1,0,1,0
17,0,48,86,17,6,62,24,4,9,55,13,19,89,4,2,34,14,12,12,71,47,12,31,36,9
4,0,28,16,13,6,27,8,0,6,43,7,4,33,2,1,31,6,3,7,24,20,3,12,33,4
0,0,6,4,1,2,9,1,0,0,2,3,1,3,1,0,5,2,0,0,10,4,1,3,0,1
24,0,98,70,91,21,108,40,4,22,87,60,35,102,17,1,56,33,22,8,92,101,16,57,106,19
28,3,62,89,51,7,105,43,3,29,80,34,17,79,8,1,78,20,5,9,92,69,17,57,57,13
95,3,325,351,234,50,425,146,13,81,386,156,103,407,37,6,280,94,53,45,403,314,62,214,304,62
1,0,12,10,4,2,15,4,1,1,6,2,3,11,2,0,2,2,0,1,8,12,2,2,5,1
0,0,0,6,1,0,2,0,0,1,3,1,0,2,0,0,7,4,1,1,3,3,1,0,2,0
5,0,29,21,26,9,37,14,3,7,18,23,11,39,3,0,11,9,4,3,31,37,6,11,29,4
1,0,4,14,3,2,10,6,0,3,7,4,3,9,0,0,10,5,1,2,13,5,4,6,10,2
