³¢®m°¶,¼B¨|¨°,§d°ê»¨,³¢ªúªL,­ð»F§Ê,¶À®¦½ç,Ã¹°êÀs,©P¼s³Ó,³¯ó`°ò,³¢©§µa,½²«³¥È,¾GñZ¤å,ªL§Ó½å,Ä¬´¼³Ç,¾H§Ó°¶,°ª§Óºõ,¼ï«Û§Ê,­¸¤O¤h,³¯³Ç¾Ë,¶R¹Å»ö,¼ïªZ¶¯,¼BªÜ»¨,¤èÎëµú,¦¶¤¸¶Ô,Á§±©¤¤,°ª°ê¼y,ªL§Ó²»
2,3,4,5,6,7,8,9,13,24,25,28,31,32,33,34,35,46,460,50,55,56,58,61,65,68,69
14,9,10,8,80,37,94,0,90,0,2,41,22,34,8,50,19,3,31,10,85,33,7,1,2,105,98
5,6,3,4,11,9,26,0,19,0,0,22,11,10,2,6,3,2,7,5,18,14,0,0,0,14,27
0,0,1,2,2,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,2,4
1,0,1,1,8,1,16,0,20,0,0,24,1,9,3,0,1,1,2,5,18,11,1,0,0,11,10
15,17,27,31,57,38,91,1,87,2,0,119,28,45,17,30,17,0,11,27,65,55,4,5,2,74,74
5,7,4,4,28,7,48,0,35,2,0,50,3,15,7,21,3,1,11,14,46,35,6,0,1,38,38
5,0,1,1,2,2,5,1,4,0,0,13,2,2,2,4,0,0,1,5,6,3,0,0,0,8,4
25,24,17,11,90,41,94,1,76,1,1,84,26,36,10,81,27,7,47,26,76,45,3,1,1,127,116
26,20,11,13,84,29,104,1,105,2,5,88,27,25,24,57,20,7,21,29,95,33,7,1,2,107,115
96,83,75,75,362,165,480,4,436,7,8,441,120,176,73,250,92,21,131,121,412,229,28,8,8,486,486
3,2,3,1,6,4,11,0,5,0,1,7,2,1,1,4,3,0,0,5,7,7,1,0,0,18,6
1,0,0,1,2,2,4,0,3,0,0,6,2,0,2,3,2,0,1,1,2,3,0,0,0,3,5
8,14,9,6,30,16,35,1,28,0,1,27,7,5,5,25,9,3,12,14,29,21,3,0,1,42,37
3,2,3,2,9,8,15,0,4,0,1,11,5,0,4,7,4,1,4,3,8,4,0,0,0,13,13
