³¢®m°¶,§d°ê»¨,³¢ªúªL,­ð»F§Ê,¶À®¦½ç,Ã¹°êÀs,©P¼s³Ó,³¯ó`°ò,®}¬FÙy,·¨®aºû,³¯³Ç¾Ë,¾H§Ó°¶,¾GñZ¤å,ªL¯§¼Ö,Ä¬´¼³Ç,°ª§Óºõ,¼ï«Û§Ê,½²«³¥È,¶R¹Å»ö,¼ïªZ¶¯,¼BªÜ»¨,¤èÎëµú,²øÂ@³Í,¦¶¤¸¶Ô,§d®åºÍ,³¯­«¦Ð,³¯­«§Ê,°ª°ê¼y,ªL§Ó²»,Á§±©¤¤
2,4,5,6,7,8,9,13,15,22,24,25,28,31,32,34,35,38,50,55,56,58,59,61,62,65,66,68,69,88
21,2,32,64,3,25,0,86,1,11,127,3,10,16,75,39,4,2,22,51,15,1,8,43,3,12,6,72,61,2
5,1,10,17,1,4,0,14,0,5,34,0,6,6,31,7,1,3,7,8,4,0,4,17,1,2,3,17,6,0
0,0,0,4,0,2,0,0,0,0,5,0,0,0,2,0,2,0,0,0,1,0,0,2,0,0,0,0,2,0
0,0,11,1,0,1,0,15,0,4,3,0,8,0,17,0,0,0,2,19,1,0,0,8,0,0,1,6,6,0
16,8,50,43,9,38,1,71,6,35,36,14,52,19,72,22,17,9,33,55,27,10,19,69,1,16,14,62,53,5
11,4,16,23,7,15,0,37,0,9,60,3,19,5,42,14,8,2,17,48,8,2,3,36,0,3,2,24,35,2
4,0,1,2,1,1,0,1,0,2,9,0,5,1,4,3,0,1,2,1,0,0,0,2,0,1,2,7,2,0
29,6,33,98,12,52,5,90,0,14,151,5,20,31,74,70,16,9,31,68,20,3,24,61,4,13,17,92,81,14
28,8,47,89,13,34,2,114,2,16,89,5,50,30,87,58,11,9,36,61,21,3,23,56,3,6,5,75,72,7
114,29,200,341,46,172,8,428,9,96,516,30,170,108,404,213,59,35,150,311,97,19,81,294,12,53,50,355,318,30
3,1,2,6,2,1,2,10,0,1,6,0,0,2,6,8,1,3,9,5,2,1,0,6,1,1,2,11,6,1
0,0,3,4,1,3,0,9,0,1,5,0,2,0,2,0,1,0,1,5,0,0,0,1,1,0,0,1,1,0
10,2,10,37,4,19,3,29,0,4,33,1,11,11,30,32,4,4,13,19,7,2,13,29,1,5,10,26,31,6
2,2,9,9,1,7,0,15,0,3,15,0,9,3,9,5,2,0,7,10,4,0,0,8,1,1,1,8,7,1
