§d°ê»¨,³¢ªúªL,­ð»F§Ê,¶À®¦½ç,Ã¹°êÀs,³¯ó`°ò,³¢®m°¶,·¨®aºû,³¯³Ç¾Ë,¾H§Ó°¶,¦¿«G½n,¾GñZ¤å,ªL¯§¼Ö,Ä¬´¼³Ç,°ª§Óºõ,¼ï«Û§Ê,½²«³¥È,¶R¹Å»ö,±i°¶¸t,¼ïªZ¶¯,¼BªÜ»¨,±iµ¤³Í,¤èÎëµú,²øÂ@³Í,¦¶¤¸¶Ô,§d®åºÍ,³¯­«¦Ð,³¯­«§Ê,°ª°ê¼y,Á§±©¤¤
4,5,6,7,8,13,15,22,24,25,27,28,31,32,34,35,38,50,52,55,56,57,58,59,61,62,65,66,68,88
0,70,46,21,32,70,7,5,124,28,2,23,7,54,26,39,0,6,0,49,1,0,3,27,16,91,79,3,69,0
0,28,10,5,10,11,0,1,26,12,0,6,3,3,4,4,0,2,0,14,0,0,1,3,3,21,7,0,14,0
0,2,2,1,0,0,0,0,7,0,1,0,1,1,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,19,1,0,7,12,0,1,8,10,1,10,0,17,0,3,0,0,0,10,0,0,0,0,1,8,0,0,6,0
2,101,47,36,47,95,1,16,43,51,6,71,16,59,11,36,1,5,4,43,4,2,17,25,30,43,61,8,33,0
0,33,16,10,23,34,4,5,56,25,0,9,0,34,9,19,0,0,0,30,2,0,3,7,10,32,17,1,15,0
0,12,2,0,1,2,1,1,3,1,0,12,1,4,2,1,1,0,0,1,0,0,1,1,3,5,4,1,4,0
0,108,69,28,46,43,12,4,156,33,5,27,20,53,37,41,1,5,3,75,5,2,13,30,30,98,64,6,79,1
2,98,77,35,63,79,11,6,103,42,0,36,14,59,27,28,0,4,3,69,2,0,11,29,16,101,67,7,79,1
4,471,271,136,230,347,36,39,527,202,15,194,62,284,116,176,3,22,10,294,14,4,50,123,109,400,300,26,299,2
0,15,6,1,3,3,2,0,8,5,0,4,0,4,4,2,1,2,0,4,1,1,1,2,2,7,6,0,8,0
0,6,1,1,5,3,1,0,1,2,0,0,1,2,2,0,0,0,0,3,0,0,0,0,1,3,3,1,3,0
0,42,32,13,15,17,6,1,41,15,2,8,6,21,10,15,1,4,1,16,3,1,7,14,14,37,29,0,27,1
0,15,8,10,12,8,1,0,13,4,0,4,2,8,2,2,0,1,0,8,1,0,0,2,3,12,14,1,10,0
