®}¬FÙy,¬I«a¦t,³¢ªúªL,­ð»F§Ê,¶À®¦½ç,Ã¹°êÀs,³¯ó`°ò,³¢®m°¶,·¨®aºû,³¯³Ç¾Ë,¾H§Ó°¶,¦¿«G½n,¾GñZ¤å,ªL¯§¼Ö,Ä¬´¼³Ç,ªL³Ó³Ç,¼ï«Û§Ê,¬_¨|¥Á,½²«³¥È,ªL¯ª³Ç,¶R¹Å»ö,±i°¶¸t,¼ïªZ¶¯,¤èÎëµú,²øÂ@³Í,¦¶¤¸¶Ô,§d®åºÍ,ªL¹t³Í,³¯­«¦Ð,³¯­«§Ê,«À«Bµ¾,°ª°ê¼y,ªL¦w¥i,Á§Ïú±c
2,3,5,6,7,8,13,15,22,24,25,27,28,31,32,33,35,36,38,39,50,52,55,58,59,61,62,64,65,66,67,68,77,88
0,0,17,29,32,23,61,20,47,24,14,18,6,53,66,6,11,5,5,33,2,5,67,3,15,5,23,56,40,11,3,51,18,0
0,0,13,4,13,4,13,9,11,3,3,5,2,4,30,1,3,0,0,10,2,2,16,0,3,0,2,7,8,5,1,9,7,0
0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,0,0
0,0,5,1,2,3,11,0,5,2,2,2,3,4,27,1,1,0,1,4,0,0,8,0,1,2,1,0,3,2,1,5,2,0
0,4,62,29,55,37,66,21,62,5,16,43,25,48,103,12,25,3,9,55,11,15,64,10,13,21,16,38,34,28,7,38,30,2
0,0,13,17,16,9,32,14,21,8,12,13,4,11,55,3,9,2,3,13,2,0,37,2,4,13,4,10,9,3,2,19,14,0
0,0,5,1,1,3,1,4,1,1,0,7,1,2,8,0,1,0,0,2,0,1,0,0,1,0,1,3,0,0,0,8,1,0
0,2,41,50,33,30,53,30,61,20,20,28,10,73,103,6,21,3,10,56,6,13,67,6,23,6,22,70,56,15,3,84,29,3
1,2,54,30,56,28,66,35,68,25,20,18,16,59,114,4,17,1,10,66,8,3,65,6,24,9,18,47,53,26,7,57,20,2
1,8,210,161,209,138,303,133,277,88,87,136,68,254,508,33,88,14,38,240,31,39,325,27,84,56,88,235,205,90,24,271,121,7
0,0,3,2,3,0,7,2,5,2,2,0,0,6,5,0,3,0,1,3,0,0,4,1,2,1,2,2,3,1,1,12,1,1
0,0,2,2,1,0,2,0,4,1,1,2,0,2,1,0,1,0,1,4,0,1,1,0,0,0,0,0,0,0,1,2,0,0
0,0,11,14,15,6,19,11,21,3,8,10,3,21,33,0,7,0,3,17,2,2,23,4,8,3,8,22,15,4,1,24,7,1
0,1,5,4,5,0,8,1,10,3,5,5,0,7,8,0,4,0,2,7,1,2,7,0,4,1,3,4,3,4,2,6,2,0
