³¢ªúªL,­ð»F§Ê,¶À®¦½ç,Ã¹°êÀs,³¯ó`°ò,ªô´¼§e,³¢®m°¶,·¨®aºû,³¯³Ç¾Ë,¾H§Ó°¶,¦¿«G½n,¾GñZ¤å,ªL¯§¼Ö,Ä¬´¼³Ç,¼ï³Ç·¢,½²«³¥È,ªL¯ª³Ç,Ã¹ÝÂ±¶,§d°ê»¨,±i°¶¸t,¼ïªZ¶¯,§d®åºÍ,ªL¹t³Í,³¯­«¦Ð,³¯­«§Ê,°ª°ê¼y,ªL¦w¥i,³\­õ®Ë
5,6,7,8,13,14,15,22,24,25,27,28,31,32,35,38,39,46,49,52,55,62,64,65,66,68,77,90
40,49,1,5,79,0,1,0,135,10,4,6,40,74,14,3,64,3,0,13,11,54,59,41,58,40,78,0
15,10,0,1,15,1,0,2,32,3,1,0,11,31,5,0,11,2,0,2,5,12,10,5,9,5,23,0
3,2,0,0,1,0,0,0,4,0,1,0,0,4,2,0,0,1,0,1,0,0,3,0,2,0,1,0
16,2,0,1,14,0,0,1,3,4,1,3,8,28,1,0,7,0,0,1,7,3,3,3,2,3,32,0
62,33,6,12,82,2,4,8,42,29,15,26,67,115,16,1,54,7,3,18,28,29,66,41,54,25,113,1
15,14,0,3,34,1,0,1,49,9,8,4,16,58,11,3,20,1,1,10,17,17,11,17,14,6,56,0
13,1,0,1,0,0,1,0,7,4,2,1,0,7,1,0,4,0,0,0,0,12,7,4,0,0,11,0
50,38,0,9,59,0,2,5,165,21,4,5,65,94,27,2,77,7,0,20,29,63,85,62,84,46,83,1
70,40,3,12,63,4,3,9,112,18,8,8,60,100,26,3,110,5,0,10,30,57,91,34,42,43,106,0
284,189,10,44,347,8,11,26,549,98,44,53,267,511,103,12,347,26,4,75,127,247,335,207,265,168,503,2
6,5,0,2,8,0,0,1,5,3,0,0,8,9,4,0,8,0,0,0,4,7,6,4,9,5,6,0
3,1,0,0,4,1,0,0,8,1,0,0,3,8,0,0,0,1,0,0,3,1,2,2,0,2,4,0
18,14,0,5,27,0,1,3,41,5,1,3,26,27,9,1,28,1,0,6,11,25,29,22,29,14,32,0
6,6,0,0,13,1,0,0,17,2,1,0,5,19,3,0,14,1,0,3,4,9,12,6,2,4,13,0
