ªL¤l»¨,¬I«a¦t,³¢ªúªL,­ð»F§Ê,¶À®¦½ç,Ã¹°êÀs,§õ¥àÄÖ,³\­õ®Ë,³¯ó`°ò,³¢®m°¶,·¨®aºû,³¯³Ç¾Ë,¾H§Ó°¶,¦¿«G½n,¾GñZ¤å,ªL©§¦w,Ä¬´¼³Ç,ªLÖM¿«,¼ï³Ç·¢,ªL¯ª³Ç,¶À²Ðº³,Ã¹ÝÂ±¶,§d°ê»¨,±i°¶¸t,¦ó«í¦ö,¼ïªZ¶¯,§d®åºÍ,ªL¹t³Í,³¯­«¦Ð,³¯­«§Ê,«À«Bµ¾,°ª°ê¼y,ªL¦w¥i
2,3,5,6,7,8,9,10,13,15,22,24,25,27,28,31,32,33,35,39,44,46,49,52,53,55,62,64,65,66,67,68,77
45,2,36,24,1,5,1,0,27,2,0,107,0,3,0,62,70,9,0,47,1,4,0,37,3,19,40,96,26,27,5,24,85
10,0,13,4,0,1,1,0,4,1,0,11,0,1,0,9,22,5,0,10,0,1,0,2,0,4,2,33,4,2,1,4,14
0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
1,0,6,0,0,0,2,0,4,0,1,3,0,0,0,3,8,3,0,1,0,0,0,0,0,0,3,3,0,3,0,0,16
46,7,67,13,3,12,9,3,41,4,4,40,4,8,7,64,78,32,3,42,0,9,4,25,7,18,29,55,27,22,8,26,75
21,3,11,11,0,3,1,1,24,3,1,42,4,1,1,22,36,17,2,14,1,3,1,16,3,8,20,15,10,10,0,4,50
4,1,5,0,0,1,0,0,3,2,0,7,0,2,1,9,3,9,0,2,0,1,0,3,0,0,5,5,1,2,0,1,12
76,1,56,44,1,9,7,4,46,4,12,136,4,5,1,69,95,16,1,95,0,13,0,67,4,26,61,130,33,45,7,33,74
44,10,59,37,1,15,7,3,60,7,6,96,2,4,5,73,110,18,1,83,0,11,0,21,2,19,54,137,23,39,6,35,126
247,24,254,134,6,46,28,11,209,23,24,450,14,24,15,311,425,109,7,294,2,42,5,171,19,94,214,477,124,150,27,127,454
3,0,8,2,0,0,0,0,6,1,2,5,0,0,0,6,3,1,0,11,0,0,0,5,1,0,2,12,1,3,0,2,5
0,0,2,0,0,2,0,0,3,0,1,1,0,0,0,5,7,0,0,1,0,1,0,1,0,1,2,5,0,3,0,3,4
19,0,19,14,0,3,3,0,16,3,5,34,1,2,0,20,30,6,1,43,0,4,0,23,1,8,15,55,10,14,2,10,24
5,0,5,4,0,2,0,0,12,0,1,9,0,0,0,11,13,1,0,5,0,1,0,3,1,3,6,14,1,5,0,5,10
