ªL§µµ{,³¢¤Ñ«H,¼Ú®Ê,¦N¤O¦N¼´¡D¾d«a,ªLÅæÄË,±iµq½n,ªL¨°¾±,¶À¬f»¨,§dºÍ³Ó,§õ³Í«Â,¥þ¯EÞ³,±i¬F¬ê,ªL©ô½Ã,´¿¶Çª@,±i¯§»Ê,¤ý¶¶©M,³¯«ä¥ò,¼B°òÂE,ªô¨°,¦¶²»Åï,´¿³³Âè,¼B®É»¨,½±¤Ö§»,§dªF¿Ä,¸³ªÃ°a,¥Ûµ¾¦t,»®¹p©Ô,¬xÞ³º~,³¯«~±¶,¤ûÜå¾ç
1,2,3,4,5,6,9,10,13,21,22,25,28,33,34,35,44,46,50,57,58,60,63,67,69,72,73,88,93,99
17,107,3,33,11,0,2,21,1,94,3,31,13,8,31,3,0,49,5,22,29,6,45,33,6,21,65,9,59,0
2,10,1,8,2,0,0,9,0,20,1,5,3,4,7,0,0,18,3,10,13,3,15,6,5,3,13,0,12,0
2,3,0,0,1,0,0,1,0,4,0,4,0,0,1,0,0,0,0,2,2,0,1,1,0,0,1,0,2,0
1,5,0,11,2,0,0,2,0,2,0,0,3,0,0,0,0,3,0,3,6,0,1,1,3,1,6,0,2,0
18,51,3,46,21,2,2,44,6,37,8,46,29,18,18,7,1,91,3,70,81,13,65,48,19,24,66,17,36,1
9,24,0,17,6,0,0,16,1,35,0,12,11,4,13,0,1,21,1,19,20,7,20,11,5,7,33,1,26,0
0,2,0,1,0,0,0,0,1,7,0,0,1,1,4,0,0,10,1,3,3,1,3,7,0,4,5,1,0,0
30,109,3,45,19,1,3,39,1,182,9,53,25,35,55,5,0,62,1,48,45,17,69,49,11,46,72,23,74,1
21,130,6,65,16,1,1,41,0,110,6,53,19,11,48,11,0,98,4,48,41,19,72,42,11,28,76,6,101,2
100,442,16,226,78,4,8,173,10,491,27,204,104,81,177,26,2,352,18,225,240,66,291,198,60,134,337,57,312,4
2,7,1,9,0,0,0,4,0,8,0,1,0,1,3,0,0,6,0,1,3,1,3,4,1,4,11,1,4,0
0,6,0,5,1,0,0,0,0,3,0,2,1,1,1,0,0,1,0,2,1,2,3,1,0,1,0,0,2,0
13,37,2,19,4,0,1,14,0,61,3,13,6,11,18,2,0,20,0,19,15,5,27,19,3,16,20,9,24,1
4,18,0,9,3,0,0,4,0,8,0,7,1,1,2,1,0,7,1,6,5,3,12,5,2,6,5,1,11,0
